timestep;reward;episode length;entropy;estimated value
50000;-2.5;214.7;1.3854680871337848;4.10995809995022
100000;-3.75;164.89999999999998;1.3853220473570618;4.123128273428231
150000;-3.3333333333333335;173.4333333333333;1.3853376829829813;4.125845763369093
200000;-3.575;164.875;1.3855186197315903;4.076604654965617
250000;-3.3;171.7;1.385617546414064;4.050533542913783
300000;-3.2399999999999998;168.56;1.385690609992517;4.015347384911562
350000;-2.8;185.52;1.3858585882140912;3.936177093532302
400000;-2.9;185.95999999999998;1.3859865430204041;3.8418826693949817
450000;-1.94;223.23999999999995;1.3858641389218935;3.812854917576689
500000;-1.94;224.06;1.3857691019903142;3.7476311804128777
550000;-1.22;254.5;1.3854475964748576;3.709361564261763
600000;-0.30000000000000004;286.65999999999997;1.3848659727141892;3.7083531253609054
650000;1.04;333.32000000000005;1.3845399321409044;3.715490937739659
700000;2.1399999999999997;370.34000000000003;1.3842222273252514;3.7196062639979304
750000;3.34;414.5200000000001;1.3838192448926598;3.7537522319863754
800000;4.840000000000001;468.73999999999995;1.383647007368991;3.785318336434088
850000;6.4799999999999995;530.46;1.3836539906123175;3.8190617379603182
900000;6.200000000000001;520.88;1.3827894854208556;3.8222793708315566
950000;7.26;556.0;1.3827320575093105;3.8351319814305187
1000000;9.08;614.8;1.3826127790948095;3.8466611212610444
1050000;8.72;599.06;1.3823062966379223;3.8174417062556407
1100000;9.92;632.9;1.3823595789799235;3.822516729850232
1150000;13.680000000000001;765.72;1.383100022593157;3.8748238489599514
1200000;14.280000000000001;783.1800000000001;1.3826396438950141;3.865445173085418
1250000;16.3;856.78;1.3825179545734403;3.8989719571677535
1300000;18.84;937.5;1.3826087959886002;3.967287508848826
1350000;19.740000000000002;962.24;1.382502458147048;3.9935439252468123
1400000;20.06;969.78;1.3823000093793822;4.01563385519146
1450000;21.8;1031.58;1.3829292976047278;4.068207309310163
1500000;21.380000000000003;1017.3;1.3832912575338248;4.080131909186134
1550000;21.02;1007.26;1.3837271560181728;4.085891138689596
1600000;20.18;986.24;1.3840005184209132;4.084629205746789
1650000;20.4;989.3599999999999;1.3844150017949477;4.087998095817296
1700000;19.919999999999998;976.6199999999999;1.3843500846993426;4.088413650219035
1750000;19.659999999999997;973.8799999999999;1.384275361506719;4.100043568005679
1800000;19.28;964.0799999999999;1.3843330056707468;4.096243037293159
1850000;21.2;1026.4;1.3844519230267576;4.130833388883845
1900000;20.1;988.04;1.3842440745879605;4.1430227190571705
1950000;17.26;891.1;1.3843077584962964;4.145428414375987
2000000;19.02;936.9400000000002;1.3845432464009029;4.1448156634221895
2050000;21.4;1011.5600000000001;1.3843921142923457;4.148088449503814
2100000;22.339999999999996;1039.28;1.3843202047558758;4.152941609611576
2150000;22.360000000000003;1045.32;1.3842569346919718;4.170458843505373
2200000;26.0;1159.1399999999999;1.384079044574587;4.211921015335271
2250000;26.32;1165.8399999999997;1.3837865467943864;4.24978869091436
2300000;27.119999999999997;1177.3600000000001;1.3838376170914737;4.295492001802955
2350000;27.96;1193.16;1.383794374402737;4.3184995944911515
2400000;31.22;1279.08;1.3828842592159145;4.314038148645362
2450000;32.94;1330.96;1.3829467101128499;4.321127978696838
2500000;34.059999999999995;1362.3799999999999;1.3828135496957576;4.328061927250522
2550000;35.040000000000006;1388.3;1.382663344799433;4.329193214808167
2600000;32.260000000000005;1304.3;1.382225546556813;4.326274030794409
2650000;31.980000000000008;1303.98;1.383112264807853;4.358476282189088
2700000;30.98;1274.98;1.3833001923444017;4.3707026257349675
2750000;29.26;1225.34;1.3836369543425349;4.3873958280530605
2800000;28.639999999999997;1219.1599999999999;1.3836806505922685;4.3998128003031525
2850000;29.02;1229.16;1.384074326804853;4.420396546275846
2900000;24.06;1079.5;1.3840874752807817;4.40650122085044
2950000;24.0;1077.46;1.3839787113182962;4.404670773668585
3000000;25.880000000000003;1118.82;1.3837313400525728;4.414452144702056
